Serial_Number,Power,Flow,Volume,ReturnTemperature,FlowTemperature,MWH,DateTime,Minute,Hour,Day,Month,Year
71438771,7.4,567.0,3712.8,55.53,66.99,17.11,2020-02-13 13:12:07,15,13,13,2,2020
71477357,3.6,714.0,6828.0,61.9,66.51,37.9,2020-02-13 13:22:11,30,13,13,2,2020
71477358,3.3,552.0,5705.9,62.3,67.94,54.68,2020-02-13 13:25:17,30,13,13,2,2020
80092945,17.9,2012.0,21141.1,58.5,66.15,182.25,2020-02-13 13:28:26,30,13,13,2,2020
71438771,3.9,594.0,3713.1,62.05,66.81,17.11,2020-02-13 13:42:07,45,13,13,2,2020
80092945,54.4,3007.0,21141.7,50.37,65.76,182.25,2020-02-13 13:43:26,45,13,13,2,2020
80074581,0.7,5774.0,19095.5,65.79,65.87,1.11,2020-02-13 13:50:38,60,13,13,2,2020
71477357,3.0,707.0,6828.3,60.58,64.4,37.9,2020-02-13 13:52:11,60,13,13,2,2020
71477358,24.2,1152.0,5706.6,43.68,66.11,54.7,2020-02-13 13:55:17,60,13,13,2,2020
71438771,5.5,710.0,3713.2,58.55,65.39,17.11,2020-02-13 13:57:07,60,13,13,2,2020
80092948,75.4,7914.0,64560.5,57.28,65.92,122.31,2020-02-13 14:03:46,15,14,13,2,2020
80074580,7.9,1818.0,14285.9,61.7,65.45,60.9,2020-02-13 14:09:20,15,14,13,2,2020
71477358,2.4,531.0,5706.7,61.49,65.61,54.7,2020-02-13 14:10:17,15,14,13,2,2020
80092945,13.7,1440.0,21142.7,53.84,62.68,182.27,2020-02-13 14:13:26,15,14,13,2,2020
80074581,1.0,6128.0,19098.6,65.99,66.13,1.11,2020-02-13 14:20:39,30,14,13,2,2020
71438771,4.9,727.0,3713.5,59.39,64.42,17.11,2020-02-13 14:27:07,30,14,13,2,2020
80074581,429497000.0,5964.0,19100.1,66.75,66.62,1.11,2020-02-13 14:35:39,45,14,13,2,2020
71477357,4.4,700.0,6828.9,59.69,65.26,37.91,2020-02-13 14:37:11,45,14,13,2,2020
80074580,8.7,1768.0,14286.7,61.69,65.91,60.91,2020-02-13 14:39:20,45,14,13,2,2020
71477358,2.9,533.0,5707.0,61.57,66.28,54.7,2020-02-13 14:40:17,45,14,13,2,2020
